type,level,accuracy,precision,recall,f1
original,0,0.7183,0.7193525243375858,0.7183,0.7166907427908679
translation_x,2,0.5723,0.6247946299667747,0.5723,0.5805200787379586
translation_y,2,0.6166,0.6407645387115045,0.6165999999999999,0.6161815874801517
translation_xy,2,0.5197,0.5664036001071977,0.5197,0.525878925969024
translation_x,5,0.4831,0.5373733105362558,0.48310000000000003,0.48386707129398376
translation_y,5,0.4781,0.5027991615337628,0.4781000000000001,0.4738872703633229
translation_xy,5,0.3439,0.3706951427468391,0.3439,0.3367122840328392
translation_x,8,0.3057,0.43019274576760125,0.3057,0.29689589532894867
translation_y,8,0.3121,0.35216673007330485,0.3121,0.2900309039682076
translation_xy,8,0.1917,0.23062493760155553,0.1917,0.16379296311638164
translation_x,10,0.2551,0.37875179814435833,0.2551,0.2511908204170631
translation_y,10,0.2508,0.26266713201637804,0.2508,0.22963449727578905
translation_xy,10,0.1671,0.1878464388265627,0.16709999999999997,0.1416774559256458
rotation,2,0.7142,0.7158135485695055,0.7142,0.7127742694080024
rotation,5,0.6517,0.6767497991988292,0.6517,0.655086044620284
rotation,10,0.5488,0.6163797320483801,0.5488000000000001,0.5590819077894722
rotation,15,0.4753,0.5664555556737826,0.47529999999999994,0.484432314901306
rotation,20,0.4161,0.5131651012750194,0.4161,0.41533240913181924
rotation,25,0.3671,0.4806794882673559,0.36710000000000004,0.3613438533640851
flip,1,0.7027,0.7039555741290481,0.7027,0.7011797766687231
