type,level,accuracy,precision,recall,f1
original,0,0.7255,0.7271390921782244,0.7255,0.7239606025785383
translation_x,2,0.6338,0.656827424777384,0.6338000000000001,0.6346814440087931
translation_y,2,0.5497,0.6433256975422579,0.5497000000000001,0.5414378215497357
translation_xy,2,0.4777,0.6140841082909981,0.4777000000000001,0.4974481188474682
translation_x,5,0.48,0.549877745262985,0.4800000000000001,0.49352471937445597
translation_y,5,0.47,0.5133519260410339,0.47000000000000003,0.4697120352044551
translation_xy,5,0.3156,0.3918704361090573,0.3156,0.3126465600034393
translation_x,8,0.2921,0.4609209351314837,0.2921,0.29467608805522044
translation_y,8,0.2513,0.3647399909130161,0.2513,0.23835650490561316
translation_xy,8,0.143,0.2500208602972359,0.143,0.12243536962534005
translation_x,10,0.259,0.4053050817463967,0.259,0.2569287357199101
translation_y,10,0.2239,0.28229634450411395,0.22390000000000004,0.2201404799175526
translation_xy,10,0.1478,0.19179983233390915,0.1478,0.12712966291113417
rotation,2,0.721,0.723609071058029,0.721,0.7194023227266834
rotation,5,0.6453,0.6835470139429377,0.6453000000000001,0.6476375603294576
rotation,10,0.5405,0.6222008085627839,0.5405,0.5497841694251406
rotation,15,0.4423,0.5920002290848927,0.4423,0.4503942044467625
rotation,20,0.3707,0.5415840628429194,0.3707,0.35928784534240965
rotation,25,0.3156,0.48253695378653266,0.3156,0.2905154496939635
flip,1,0.7117,0.7132926586961068,0.7117,0.7102073205211822
