type,level,accuracy,precision,recall,f1
original,0,0.8271,0.82824128543783,0.8271000000000001,0.8270611970811105
translation_x,2,0.7683,0.7921599686838718,0.7683000000000001,0.7743477634166929
translation_y,2,0.7885,0.7963013934170229,0.7885,0.7899887644999862
translation_xy,2,0.7149,0.7616544442083415,0.7149000000000001,0.7239811410794673
translation_x,5,0.6316,0.7055251910114098,0.6315999999999999,0.6466341449096491
translation_y,5,0.6877,0.7030398749740041,0.6877,0.6885891823881094
translation_xy,5,0.5067,0.6108572884063699,0.5067,0.5168216373467189
translation_x,8,0.5173,0.6399002831274723,0.5173,0.5327459490630206
translation_y,8,0.5393,0.5737438734992233,0.5393000000000001,0.5346389863756509
translation_xy,8,0.3548,0.4581241692653058,0.3548,0.34649965945134903
translation_x,10,0.4106,0.566921584553967,0.41059999999999997,0.42190983373760194
translation_y,10,0.4434,0.5018016315719123,0.4434,0.43330512730117177
translation_xy,10,0.2879,0.3685777225934855,0.2879,0.2660100212238756
rotation,2,0.8185,0.8213629838987015,0.8184999999999999,0.8191743584362099
rotation,5,0.7626,0.7774562119372368,0.7626,0.7659193733942955
rotation,10,0.6947,0.7252207572521358,0.6946999999999999,0.7002594583772719
rotation,15,0.606,0.6694284339004462,0.6060000000000001,0.6159999753449849
rotation,20,0.5272,0.5980837092776281,0.5272,0.5282012299762304
rotation,25,0.4382,0.5436714728638397,0.4382,0.4310394688671425
flip,1,0.819,0.8203053810098966,0.819,0.8190044410819282
