type,level,accuracy,precision,recall,f1
original,0,0.9911,0.9910434337201501,0.9909948685799013,0.9910072680831039
translation_x,2,0.9599,0.9609555890983614,0.9602106572452938,0.9601313360865076
translation_x,5,0.5111,0.5495021225174932,0.51362616787096,0.47644092207402416
translation_x,8,0.1512,0.08678147898252316,0.15297910891354177,0.09766792322687974
translation_x,10,0.1126,0.0510464564518928,0.11287345479632482,0.059877989611367144
translation_y,2,0.9325,0.9361212102542404,0.9328767132044448,0.9329754829666314
translation_y,5,0.2615,0.29598314327946446,0.25899287884981687,0.246457373915749
translation_y,8,0.0702,0.08345963968210235,0.06757417559643338,0.062393452245419166
translation_y,10,0.0912,0.07210221768776869,0.09104810849241862,0.0657493930695938
translation_xy,2,0.7947,0.8134849072501014,0.7971457244151956,0.7931463192851727
translation_xy,5,0.0598,0.035636135406291986,0.06384348136791458,0.039297799399612934
translation_xy,8,0.0253,0.016606010924199117,0.025004956174642608,0.01730559870398366
translation_xy,10,0.1084,0.04487006102133562,0.10762888527131595,0.06262413589467838
rotation,2,0.9911,0.9910434337201501,0.9909948685799013,0.9910072680831039
rotation,5,0.9862,0.9862221802069089,0.98601715810182,0.9860568080300889
rotation,10,0.9836,0.9835649718097889,0.9834485945499027,0.9834386314211981
rotation,15,0.9752,0.9754464516264079,0.9750608454894794,0.9750899404573425
rotation,20,0.9564,0.9571520706870296,0.9562067132384879,0.9562179792814904
rotation,25,0.9266,0.9280510467857545,0.9265081909496182,0.9264382875655588
flip,1,0.4103,0.4339045093480999,0.40244066022567393,0.38130198688645767
