type,level,accuracy,precision,recall,f1
original,0,0.994,0.9940625071233467,0.993886974010835,0.9939598527345603
translation_x,2,0.993,0.9930716367647076,0.9928161028043012,0.9929211292427276
translation_y,2,0.9901,0.9902712939356902,0.9899586605499413,0.9900712323641321
translation_xy,2,0.9881,0.9883508136984878,0.9878719651616255,0.988043613574827
translation_x,5,0.9904,0.9905846101926705,0.9900945269714369,0.9903022625999327
translation_y,5,0.9811,0.9815369083055291,0.9810124953533258,0.9811505338739522
translation_xy,5,0.967,0.9689047154439118,0.966496347149419,0.9672463107113334
translation_x,8,0.9779,0.9793920682922526,0.9772191290694593,0.978064092553377
translation_y,8,0.9183,0.9209786190258843,0.9182402845083605,0.9189309457679334
translation_xy,8,0.6448,0.8217369818504097,0.6374666065242671,0.6681454606035307
translation_x,10,0.9139,0.9381608717220187,0.9112789668232957,0.9180820844417156
translation_y,10,0.7814,0.8086999009425385,0.7801415941076926,0.7838059546316668
translation_xy,10,0.1909,0.6077664928806791,0.17761381486143007,0.14129860581684214
rotation,2,0.994,0.9940625071233467,0.993886974010835,0.9939598527345603
rotation,5,0.9914,0.9915272167402627,0.9911274548292006,0.9912870214401373
rotation,10,0.9819,0.9823159175886422,0.9814646163746698,0.981713316833352
rotation,15,0.9687,0.9701198470146972,0.9681497896852159,0.9685446835693778
rotation,20,0.9503,0.9536689776787208,0.9493087102558112,0.9499822273111087
rotation,25,0.9331,0.9380608869105286,0.9319974466119529,0.9328380400334104
flip,1,0.4784,0.48579116956816504,0.47039112485504375,0.44539770708487997
